locationid,readingdate,dtwbelowcasing,wellname,current_stickup_height,measureby,conductivity,,,
70,04/29/2008 15:06,18.23,Snake Valley North MX,2.13,Stefan Kirby,,,,
24,04/29/2008 15:21,174.97,PW09A,1.09,Stefan Kirby,,,,
25,04/29/2008 15:21,174.78,PW09B,1,Stefan Kirby,,,,
73,04/29/2008 15:45,77.3,Eskdale MX,4.19,Stefan Kirby,,,,
74,04/29/2008 20:31,42.36,Baker Creek,0.79,Stefan Kirby,,,,
19,04/30/2008 07:41,45.69,PW07A,1.6,Stefan Kirby,,,,
20,04/30/2008 07:41,47.64,PW07B,1.85,Stefan Kirby,,,,
11,04/30/2008 08:33,52.39,PW05A,1.86,Stefan Kirby,,,,
12,04/30/2008 08:33,41.9,PW05B,1.63,Stefan Kirby,,,,
13,04/30/2008 08:33,35.72,PW05C,1.39,Stefan Kirby,,,,
1,04/30/2008 09:25,92.87,PW01A,2.58,Stefan Kirby,,,,
2,04/30/2008 09:25,92.89,PW01B,2.28,Stefan Kirby,,,,
3,04/30/2008 09:25,128.32,PW01C,2.18,Stefan Kirby,,,,
72,04/30/2008 09:27,5.5,Needle Point BLM,1.9,Stefan Kirby,,,,
6,04/30/2008 10:17,198.64,PW03A,2.2,Stefan Kirby,,,,
7,04/30/2008 10:17,193.15,PW03B,1.85,Stefan Kirby,,,,
14,04/30/2008 14:40,107.94,PW06A,1.12,Stefan Kirby,,,,
26,06/09/2008 12:00,543.86,PW10A,1.89,Stefan Kirby,,,,
27,06/09/2008 12:00,523.42,PW10B,2.07,Stefan Kirby,,,,
28,06/09/2008 12:00,215.36,PW11B,1.26,Stefan Kirby,,,,
29,06/09/2008 12:00,214.92,PW11C,1.04,Stefan Kirby,,,,
30,06/09/2008 12:00,210.26,PW11D,2.06,Stefan Kirby,,,,
31,06/09/2008 12:00,210.26,PW11E,2.03,Stefan Kirby,,,,
3,06/19/2008 14:16,151.35,PW01C,2.18,Stefan Kirby,,,,
28,06/23/2008 12:00,215.29,PW11B,1.26,Stefan Kirby,,,,
29,06/23/2008 12:00,214.84,PW11C,1.04,Stefan Kirby,,,,
30,06/23/2008 12:00,210.3,PW11D,2.06,Stefan Kirby,,,,
31,06/23/2008 12:00,210.18,PW11E,2.03,Stefan Kirby,,,,
21,06/25/2008 00:00,39.91,PW07MX,3.39,Stefan Kirby,,,,
26,06/27/2008 12:00,542.95,PW10A,1.89,Stefan Kirby,,,,
27,06/27/2008 12:00,521.32,PW10B,2.07,Stefan Kirby,,,,
28,07/16/2008 12:00,215.42,PW11B,1.26,Stefan Kirby,,,,
29,07/16/2008 12:00,214.94,PW11C,1.04,Stefan Kirby,,,,
30,07/16/2008 12:00,210.31,PW11D,2.06,Stefan Kirby,,,,
31,07/16/2008 12:00,210.3,PW11E,2.03,Stefan Kirby,,,,
72,07/28/2008 13:58,7.12,Needle Point BLM,1.9,Stefan Kirby,,,,
71,07/28/2008 14:27,71.64,Snake Valley South MX,2.15,Stefan Kirby,,,,
9,07/28/2008 14:57,593.58,PW04A,2.02,Stefan Kirby,,,,
10,07/28/2008 16:02,593.31,PW04B,1.71,Stefan Kirby,,,,
74,07/28/2008 16:37,42.55,Baker Creek,0.79,Stefan Kirby,,,,
3,07/28/2008 17:21,132.78,PW01C,2.18,Stefan Kirby,,,,
1,07/28/2008 17:38,94.68,PW01A,2.58,Stefan Kirby,,,,
2,07/28/2008 17:38,94.97,PW01B,2.28,Stefan Kirby,,,,
7,07/28/2008 17:42,192.62,PW03B,1.85,Stefan Kirby,,,,
70,07/29/2008 07:48,19.01,Snake Valley North MX,2.13,Stefan Kirby,,,,
69,07/29/2008 09:44,42.64,Twin Springs MX,0.21,Stefan Kirby,,,,
26,07/29/2008 12:41,541.94,PW10A,1.89,Stefan Kirby,,,,
27,07/29/2008 12:41,520.3,PW10B,2.07,Stefan Kirby,,,,
14,07/29/2008 14:11,108,PW06A,1.12,Stefan Kirby,,,,
15,07/29/2008 14:11,107.76,PW06B,1.04,Stefan Kirby,,,,
16,07/29/2008 14:11,107.51,PW06C,0.75,Stefan Kirby,,,,
17,07/29/2008 14:11,108.36,PW06D,1.71,Stefan Kirby,,,,
73,07/29/2008 14:41,77.88,Eskdale MX,4.19,Stefan Kirby,,,,
24,07/29/2008 15:10,175.49,PW09A,1.09,Stefan Kirby,,,,
25,07/29/2008 15:10,175.38,PW09B,1,Stefan Kirby,,,,
20,07/29/2008 15:38,47.71,PW07B,1.85,Stefan Kirby,,,,
19,07/29/2008 15:42,45.81,PW07A,1.6,Stefan Kirby,,,,
21,07/29/2008 15:44,39.91,PW07MX,3.39,Stefan Kirby,,,,
11,07/29/2008 16:44,52.65,PW05A,1.86,Stefan Kirby,,,,
12,07/29/2008 16:44,42.39,PW05B,1.63,Stefan Kirby,,,,
13,07/29/2008 16:44,35.97,PW05C,1.39,Stefan Kirby,,,,
6,07/29/2008 17:52,198.56,PW03A,2.2,Stefan Kirby,,,,
28,07/30/2008 08:31,215.52,PW11B,1.26,Stefan Kirby,,,,
29,07/30/2008 08:31,214.97,PW11C,1.04,Stefan Kirby,,,,
31,07/30/2008 08:31,210.31,PW11E,2.03,Stefan Kirby,,,,
74,10/27/2008 15:31,42.84,Baker Creek,0.79,Stefan Kirby,,,,
71,10/27/2008 16:28,71.72,Snake Valley South MX,2.15,Stefan Kirby,,,,
72,10/27/2008 17:02,7.4,Needle Point BLM,1.9,Stefan Kirby,,,,
21,10/28/2008 07:38,40.29,PW07MX,3.39,Stefan Kirby,,,,
20,10/28/2008 07:42,47.95,PW07B,1.85,Stefan Kirby,,,,
19,10/28/2008 07:44,45.94,PW07A,1.6,Stefan Kirby,,,,
73,10/28/2008 08:16,78.31,Eskdale MX,4.19,Stefan Kirby,,,,
25,10/28/2008 08:57,175.94,PW09B,1,Stefan Kirby,,,,
24,10/28/2008 09:03,175.94,PW09A,1.09,Stefan Kirby,,,,
17,10/28/2008 09:21,108.57,PW06D,1.71,Stefan Kirby,,,,
16,10/28/2008 09:32,107.7,PW06C,0.75,Stefan Kirby,,,,
15,10/28/2008 09:34,107.96,PW06B,1.04,Stefan Kirby,,,,
14,10/28/2008 09:35,108.2,PW06A,1.12,Stefan Kirby,,,,
18,10/28/2008 09:51,82.14,PW06MX,0.39,Stefan Kirby,,,,
69,10/28/2008 10:37,42.57,Twin Springs MX,0.21,Stefan Kirby,,,,
75,10/28/2008 12:03,54.38,Central Tule MX,3.11,Stefan Kirby,,,,
36,10/28/2008 14:21,28.33,AG14A,1.57,Stefan Kirby,,,,
37,10/28/2008 14:21,26.68,AG14B,0.84,Stefan Kirby,,,,
38,10/28/2008 14:21,20.59,AG14C,0.46,Stefan Kirby,,,,
12,10/28/2008 14:52,42.48,PW05B,1.63,Stefan Kirby,,,,
13,10/28/2008 14:53,35.4,PW05C,1.39,Stefan Kirby,,,,
33,10/28/2008 15:04,69.2,AG13A,1.34,Stefan Kirby,,,,
34,10/28/2008 15:08,75.54,AG13B,1.47,Stefan Kirby,,,,
35,10/28/2008 15:11,76.86,AG13C,1.95,Stefan Kirby,,,,
2,10/28/2008 15:44,98.19,PW01B,2.28,Stefan Kirby,,,,
1,10/28/2008 15:45,97.38,PW01A,2.58,Stefan Kirby,,,,
30,10/28/2008 16:11,210.25,PW11D,2.06,Stefan Kirby,,,,
6,10/28/2008 16:20,198.86,PW03A,2.2,Stefan Kirby,,,,
7,10/28/2008 16:22,194.39,PW03B,1.85,Stefan Kirby,,,,
22,10/28/2008 17:11,99.13,PW08A,1.28,Stefan Kirby,,,,
23,10/28/2008 17:30,98.77,PW08B,1.81,Stefan Kirby,,,,
28,10/28/2008 17:58,215.37,PW11B,1.26,Stefan Kirby,,,,
31,10/28/2008 18:11,210.23,PW11E,2.03,Stefan Kirby,,,,
29,10/28/2008 18:12,214.88,PW11C,1.04,Stefan Kirby,,,,
70,10/28/2008 18:12,19.08,Snake Valley North MX,2.13,Stefan Kirby,,,,
39,10/29/2008 08:20,82.16,AG15,1.56,Stefan Kirby,,,,
10,10/29/2008 08:23,593.29,PW04B,1.71,Stefan Kirby,,,,
9,10/29/2008 08:30,593.57,PW04A,2.02,Stefan Kirby,,,,
40,10/29/2008 09:44,21.7,AG16A,1.98,Stefan Kirby,,,,
41,10/29/2008 09:44,20.19,AG16B,1.09,Stefan Kirby,,,,
42,10/29/2008 09:44,15.36,AG16C,1.69,Stefan Kirby,,,,
26,10/29/2008 11:42,542.81,PW10A,1.89,Stefan Kirby,,,,
27,10/29/2008 11:42,521.1,PW10B,2.07,Stefan Kirby,,,,
136,12/01/2008 12:00,58.25,Callao Agricultural Well,0.69,Stefan Kirby,,,,
65,02/05/2009 12:00,3.6,SG26A,2.22,Stefan Kirby,,,,
66,02/05/2009 12:00,1.92,SG26B,2.74,Stefan Kirby,,,,
67,02/05/2009 12:00,1.41,SG26C,3.56,Stefan Kirby,,,,
19,02/09/2009 12:31,45.7,PW07A,1.6,Stefan Kirby,,,,
20,02/09/2009 12:31,47.52,PW07B,1.85,Stefan Kirby,,,,
21,02/09/2009 12:31,40.08,PW07MX,3.39,Stefan Kirby,,,,
25,02/09/2009 13:04,175.88,PW09B,1,Stefan Kirby,,,,
73,02/09/2009 13:14,78.17,Eskdale MX,4.19,Stefan Kirby,,,,
24,02/09/2009 13:24,175.79,PW09A,1.09,Stefan Kirby,,,,
17,02/09/2009 13:55,108.47,PW06D,1.71,Stefan Kirby,,,,
15,02/09/2009 13:58,107.88,PW06B,1.04,Stefan Kirby,,,,
14,02/09/2009 13:59,108.21,PW06A,1.12,Stefan Kirby,,,,
16,02/09/2009 13:59,107.62,PW06C,0.75,Stefan Kirby,,,,
18,02/09/2009 13:59,82.2,PW06MX,0.39,Stefan Kirby,,,,
36,02/09/2009 15:21,27.53,AG14A,1.57,Stefan Kirby,,,,
37,02/09/2009 15:21,25.9,AG14B,0.84,Stefan Kirby,,,,
38,02/09/2009 15:21,19.72,AG14C,0.46,Stefan Kirby,,,,
70,02/09/2009 15:32,18.83,Snake Valley North MX,2.13,Stefan Kirby,,,,
6,02/09/2009 15:54,201.09,PW03A,2.2,Stefan Kirby,,,,
7,02/09/2009 16:33,196.92,PW03B,1.85,Stefan Kirby,,,,
33,02/09/2009 16:33,65.8,AG13A,1.34,Stefan Kirby,,,,
34,02/09/2009 16:33,68.83,AG13B,1.47,Stefan Kirby,,,,
35,02/09/2009 16:33,69.84,AG13C,1.95,Stefan Kirby,,,,
1,02/09/2009 17:05,96.41,PW01A,2.58,Stefan Kirby,,,,
2,02/09/2009 17:18,96.46,PW01B,2.28,Stefan Kirby,,,,
3,02/09/2009 17:28,116.69,PW01C,2.18,Stefan Kirby,,,,
9,02/10/2009 08:30,593.65,PW04A,2.02,Stefan Kirby,,,,
10,02/10/2009 08:41,593.35,PW04B,1.71,Stefan Kirby,,,,
39,02/10/2009 09:23,81.44,AG15,1.56,Stefan Kirby,,,,
57,02/10/2009 09:36,7.44,SG23B,2.43,Stefan Kirby,,,,
72,02/10/2009 10:33,6.56,Needle Point BLM,1.9,Stefan Kirby,,,,
71,02/10/2009 10:34,71.61,Snake Valley South MX,2.15,Stefan Kirby,,,,
4,02/10/2009 10:36,32.18,PW02A,1.43,Stefan Kirby,,,,
5,02/10/2009 10:36,29.38,PW02B,1.41,Stefan Kirby,,,,
12,02/10/2009 11:28,42.62,PW05B,1.63,Stefan Kirby,,,,
40,02/10/2009 11:28,19.73,AG16A,1.98,Stefan Kirby,,,,
41,02/10/2009 11:28,18.09,AG16B,1.09,Stefan Kirby,,,,
42,02/10/2009 11:28,15.22,AG16C,1.69,Stefan Kirby,,,,
11,02/10/2009 13:14,53.22,PW05A,1.86,Stefan Kirby,,,,
13,02/10/2009 13:14,35.51,PW05C,1.39,Stefan Kirby,,,,
74,02/10/2009 13:42,42.93,Baker Creek,0.79,Stefan Kirby,,,,
69,02/10/2009 14:54,42.52,Twin Springs MX,0.21,Stefan Kirby,,,,
58,02/10/2009 15:10,5.31,SG24A,3.02,Stefan Kirby,,,,
59,02/10/2009 15:10,3.79,SG24B,1.78,Stefan Kirby,,,,
60,02/10/2009 15:10,1.8,SG24C,1.91,Stefan Kirby,,,,
68,02/10/2009 16:05,8.09,SG27,2.06,Stefan Kirby,,,,
61,02/10/2009 16:45,4.56,SG25A,2.1,Stefan Kirby,,,,
62,02/10/2009 16:45,4.43,SG25B,2.22,Stefan Kirby,,,,
63,02/10/2009 16:45,1.98,SG25C,2.16,Stefan Kirby,,,,
64,02/10/2009 17:00,8.7,SG25D,2.32,Stefan Kirby,,,,
47,02/11/2009 09:30,756.55,PW18,0.97,Stefan Kirby,,,,
48,02/11/2009 10:38,197.92,PW19A,2.17,Stefan Kirby,,,,
49,02/11/2009 10:38,195.37,PW19B,1.69,Stefan Kirby,,,,
50,02/11/2009 10:38,198.19,PW19C,2.46,Stefan Kirby,,,,
51,02/11/2009 12:03,293.56,PW20,0.93,Stefan Kirby,,,,
46,02/11/2009 12:48,149.93,Coyote Knolls MX,3.52,Stefan Kirby,,,,
43,02/11/2009 13:11,84.49,PW17A,1.79,Stefan Kirby,,,,
44,02/11/2009 13:11,83.94,PW17B,2.01,Stefan Kirby,,,,
45,02/11/2009 13:11,84.2,PW17C,2.01,Stefan Kirby,,,,
26,02/11/2009 15:03,542.78,PW10A,1.89,Stefan Kirby,,,,
27,02/11/2009 15:03,521.68,PW10B,2.07,Stefan Kirby,,,,
22,02/12/2009 08:15,99.45,PW08A,1.28,Stefan Kirby,,,,
23,02/12/2009 08:15,99.11,PW08B,1.81,Stefan Kirby,,,,
28,02/12/2009 08:40,215.28,PW11B,1.26,Stefan Kirby,,,,
29,02/12/2009 08:40,214.89,PW11C,1.04,Stefan Kirby,,,,
30,02/12/2009 08:40,210.28,PW11D,2.06,Stefan Kirby,,,,
31,02/12/2009 08:40,210.21,PW11E,2.03,Stefan Kirby,,,,
32,03/04/2009 12:00,1428.56,PW12,2.31,Stefan Kirby,,,,
28,03/05/2009 16:03,215.27,PW11B,1.26,Stefan Kirby,,,,
30,03/05/2009 16:11,210.24,PW11D,2.06,Stefan Kirby,,,,
31,03/05/2009 16:13,210.22,PW11E,2.03,Stefan Kirby,,,,
29,03/06/2009 16:07,214.83,PW11C,1.04,Stefan Kirby,,,,
6,03/12/2009 12:21,201.88,PW03A,2.2,Stefan Kirby,,,,
7,03/12/2009 12:25,197.52,PW03B,1.85,Stefan Kirby,,,,
8,03/12/2009 12:30,174.67,PW03Z,1.74,Stefan Kirby,,,,
136,04/02/2009 12:00,56.7,Callao Agricultural Well,0.69,Stefan Kirby,,,,
19,05/18/2009 11:20,45.89,PW07A,1.6,Stefan Kirby,,,,
20,05/18/2009 11:32,47.95,PW07B,1.85,Stefan Kirby,,,,
21,05/18/2009 11:51,39.99,PW07MX,3.39,Stefan Kirby,,,,
11,05/18/2009 15:41,53.42,PW05A,1.86,Stefan Kirby,,,,
12,05/18/2009 15:41,42.66,PW05B,1.63,Stefan Kirby,,,,
13,05/18/2009 15:41,35.75,PW05C,1.39,Stefan Kirby,,,,
14,05/19/2009 09:12,108.21,PW06A,1.12,Stefan Kirby,,,,
15,05/19/2009 09:43,107.92,PW06B,1.04,Stefan Kirby,,,,
16,05/19/2009 09:48,107.65,PW06C,0.75,Stefan Kirby,,,,
17,05/19/2009 09:51,108.58,PW06D,1.71,Stefan Kirby,,,,
18,05/19/2009 10:37,82.16,PW06MX,0.39,Stefan Kirby,,,,
30,05/19/2009 18:46,210.39,PW11D,2.06,Stefan Kirby,,,,
31,05/19/2009 19:31,210.36,PW11E,2.03,Stefan Kirby,,,,
