"objectid","locationid","locationname","locationtype","locationdesc","huc8","huc12","altlocationcontext","altlocationid","latitude","longitude","horizontalaccmeasurevalue","horizontalaccmeasureunit","horizontalcollectionmethod","horizontalcoordrefsystem","verticalmeasure","verticalunit","verticalcollectionmethod","verticalcoordrefsystem","state","county","welltype","aquifername","wellformationtype","welldepthmeasureunit","attachmentfilename","wlnetworkname","wlbaseline","wlwelltype","wlwellcharacteristics","qwnetworkname","qwbaseline","qwwelltype","qwwellcharacteristics","link","nationalaquifer","welldepth","geology","priority","usgs_id","win","send","aquifertype","display","siteid","wrnum","linkgeophysicallog","imagepath","notes","linklithologiclog","linkdevelopmentlog","loggertype","baroefficiency","baroefficiencystart","locationdatatable","barologgertype","installdate","enddate","locstatus","personnel","inwqx","shape","stickup"
7,"393501113515701","P1007","Well","Miller Spring - 1007","16020301","160203011502","Miller Spring",1007,"39.58353747","-113.86582372",2,"cm","GPS Carrier Phase Kinematic Relative Position","NAD83","4762.10600000","ft","GPS Carrier Phase Kinematic Relative Position","NAVD88","UT","023","Piezometer","100VLFL","Unconsolidated Sediment","ft",NULL,"Snake Valley Wetlands",NULL,NULL,"Background","Snake Valley Wetlands",NULL,NULL,NULL,NULL,"N100BSNRGB","3.80000000",NULL,NULL,NULL,NULL,"0",NULL,"1",58,NULL,NULL,"wetlands/P1007.JPG","9/25/2017 Dominant Vegetation: Schoenoplectus acutus, Eleocharis rostellata",NULL,NULL,NULL,"0.00000000",NULL,NULL,"9025","2009-11-11 00:00:00","2019-04-17 08:42:58",2,NULL,0,"280000000100000001000400206900000C0000000100000091D6ECB99003BC96A8D4AF0868747470","1.00000000"
1,"393453113515501","P1001","Well","Miller Spring - 1001","16020301","160203011502","Miller Spring",1001,"39.58141614","-113.86541158",1,"cm","GPS Carrier Phase Kinematic Relative Position","NAD83","4763.00900000","ft","GPS Carrier Phase Kinematic Relative Position","NAVD88","UT","023","Piezometer","100VLFL","Unconsolidated Sediment","ft","","Snake Valley Wetlands",NULL,"","Background","Snake Valley Wetlands",NULL,"","","","N100BSNRGB","3.60000000",NULL,NULL,"",NULL,"0",NULL,"1",58,NULL,NULL,"wetlands/P1001.JPG","9/25/2017 Dominant Vegetation: Juncus arcticus",NULL,NULL,NULL,"0.00000000",NULL,NULL,"9025","2009-10-15 00:00:00",NULL,0,NULL,0,"280000000100000001000400206900000C000000010000008BDC8EBA9003B6AB87D2AF0830313030","1.22000000"
2,"393452113515501","P1002","Well","Miller Spring - 1002","16020301","160203011502","Miller Spring",1002,"39.58121485","-113.86534217",1,"cm","GPS Carrier Phase Kinematic Relative Position","NAD83","4763.94700000","ft","GPS Carrier Phase Kinematic Relative Position","NAVD88","UT","023","Piezometer","100VLFL","Unconsolidated Sediment","ft",NULL,"Snake Valley Wetlands",NULL,NULL,"Background","Snake Valley Wetlands",NULL,NULL,NULL,NULL,"N100BSNRGB","4.00000000",NULL,NULL,NULL,NULL,"0",NULL,"1",58,NULL,NULL,"wetlands/P1002.JPG","9/25/2017 Dominant Vegetation: Distichlis spicata, Salicornia rubra, Carex nebrascensis",NULL,NULL,NULL,"0.00000000",NULL,NULL,"9025","2009-10-15 00:00:00",NULL,0,NULL,0,"280000000100000001000400206900000C000000010000009F9095BA9003B0EAEBD1AF08E0D0225B","0.97000000"
3,"393454113515501","P1003","Well","Miller Spring - 1003","16020301","160203011502","Miller Spring",1003,"39.58169219","-113.86528483",2,"cm","GPS Carrier Phase Kinematic Relative Position","NAD83","4762.54900000","ft","GPS Carrier Phase Kinematic Relative Position","NAVD88","UT","023","Piezometer","100VLFL","Unconsolidated Sediment","ft",NULL,"Snake Valley Wetlands",NULL,NULL,"Background","Snake Valley Wetlands",NULL,NULL,NULL,NULL,"N100BSNRGB","3.80000000",NULL,NULL,NULL,NULL,"0",NULL,"1",58,NULL,NULL,"wetlands/P1003.JPG","9/25/2017 Dominant Vegetation: Schoenoplectus acutus",NULL,NULL,NULL,"0.00000000",NULL,NULL,"9025","2009-10-15 00:00:00",NULL,0,NULL,0,"280000000100000001000400206900000C000000010000008B9A9DBA9003B0A9ACD2AF0800000000","0.91000000"
4,"393450113515501","P1004","Well","Miller Spring - 1004","16020301","160203011502","Miller Spring",1004,"39.58058218","-113.86533808",1,"cm","GPS Carrier Phase Kinematic Relative Position","NAD83","4763.92400000","ft","GPS Carrier Phase Kinematic Relative Position","NAVD88","UT","023","Piezometer","100VLFL","Unconsolidated Sediment","ft",NULL,"Snake Valley Wetlands",NULL,NULL,"Background","Snake Valley Wetlands",NULL,NULL,NULL,NULL,"N100BSNRGB","3.80000000",NULL,NULL,NULL,NULL,"0",NULL,"1",58,NULL,NULL,"wetlands/P1004.JPG","9/25/2017 Dominant Vegetation:",NULL,NULL,NULL,"0.00000000",NULL,NULL,"9025","2009-10-15 00:00:00",NULL,0,NULL,0,"280000000100000001000400206900000C000000010000009BE992BA9003928B96D1AF0800000000","1.28000000"
5,"393501113515601","P1005","Well","Miller Spring - 1005","16020301","160203011502","Miller Spring",1005,"39.58350154","-113.86541631",2,"cm","GPS Carrier Phase Kinematic Relative Position","NAD83","4762.95900000","ft","GPS Carrier Phase Kinematic Relative Position","NAVD88","UT","023","Piezometer","100VLFL","Unconsolidated Sediment","ft",NULL,"Snake Valley Wetlands",NULL,NULL,"Background","Snake Valley Wetlands",NULL,NULL,NULL,NULL,"N100BSNRGB","4.00000000",NULL,NULL,NULL,NULL,"0",NULL,"1",58,NULL,NULL,"wetlands/P1005.JPG","9/25/2017 Dominant Vegetation: Distichlis spicata",NULL,NULL,NULL,"0.00000000",NULL,NULL,"9025","2009-10-21 00:00:00",NULL,1,NULL,0,"280000000100000001000400206900000C00000001000000949E97BA900392F9A1D4AF0832383030","1.06000000"
6,"393500113515601","P1006","Well","Miller Spring - 1006","16020301","160203011502","Miller Spring",1006,"39.58349220","-113.86563135",2,"cm","GPS Carrier Phase Kinematic Relative Position","NAD83","4761.78500000","ft","GPS Carrier Phase Kinematic Relative Position","NAVD88","UT","023","Piezometer","100VLFL","Unconsolidated Sediment","ft",NULL,"Snake Valley Wetlands",NULL,NULL,"Background","Snake Valley Wetlands",NULL,NULL,NULL,NULL,"N100BSNRGB","3.80000000",NULL,NULL,NULL,NULL,"0",NULL,"1",58,NULL,NULL,"wetlands/P1006.JPG","9/25/2017 Dominant Vegetation: Eleocharis rostellata",NULL,NULL,NULL,"0.00000000",NULL,NULL,"9025","2009-11-11 00:00:00",NULL,0,NULL,0,"280000000100000001000400206900000C0000000100000080D380BA90039CB3A1D4AF0800020000","0.82000000"
8,"393506113515701","P1008","Well","Miller Spring - 1008","16020301","160203011502","Miller Spring",1008,"39.58497357","-113.86581968",2,"cm","GPS Carrier Phase Kinematic Relative Position","NAD83","4761.31200000","ft","GPS Carrier Phase Kinematic Relative Position","NAVD88","UT","023","Piezometer","100VLFL","Unconsolidated Sediment","ft",NULL,"Snake Valley Wetlands",NULL,NULL,"Background","Snake Valley Wetlands",NULL,NULL,NULL,NULL,"N100BSNRGB","3.90000000",NULL,NULL,NULL,NULL,"0",NULL,"1",58,NULL,NULL,"wetlands/P1008.JPG","9/25/2017 Dominant Vegetation: Eleocharis rostellata, Schoenoplectus americanus, Distichlis spicata",NULL,NULL,NULL,"0.00000000",NULL,NULL,"9025","2009-11-11 00:00:00",NULL,0,NULL,0,"280000000100000001000400206900000C0000000100000080A7F3B990039CE2EAD5AF0830313030","1.07000000"
9,"393506113515601","P1009","Well","Miller Spring - 1009","16020301","160203011502","Miller Spring",1009,"39.58499840","-113.86567680",2,"cm","GPS Carrier Phase Kinematic Relative Position","NAD83","4761.62700000","ft","GPS Carrier Phase Kinematic Relative Position","NAVD88","UT","023","Piezometer","100VLFL","Unconsolidated Sediment","ft",NULL,"Snake Valley Wetlands",NULL,NULL,"Background","Snake Valley Wetlands",NULL,NULL,NULL,NULL,"N100BSNRGB","4.00000000",NULL,NULL,NULL,NULL,"0",NULL,"1",58,NULL,NULL,"wetlands/P1009.JPG","9/25/2017 Dominant Vegetation: Eleocharis rostellata, Schoenoplectus americanus, Typha latifolia",NULL,NULL,NULL,"0.00000000",NULL,NULL,"9025","2009-11-11 00:00:00",NULL,1,NULL,0,"280000000100000001000400206900000C0000000100000094B282BA9003BED3EDD5AF0890039CE2","1.22000000"
10,"393506113515801","P1010","Well","Miller Spring - 1010","16020301","160203011502","Miller Spring",1010,"39.58502748","-113.86619301",2,"cm","GPS Carrier Phase Kinematic Relative Position","NAD83","4761.98500000","ft","GPS Carrier Phase Kinematic Relative Position","NAVD88","UT","023","Piezometer","100VLFL","Unconsolidated Sediment","ft",NULL,"Snake Valley Wetlands",NULL,NULL,"Background","Snake Valley Wetlands",NULL,NULL,NULL,NULL,"N100BSNRGB","3.90000000",NULL,NULL,NULL,NULL,"0",NULL,"1",58,NULL,NULL,"wetlands/P1010.JPG","9/25/2017 Dominant Vegetation: Distichlis spicata, Juncus arcticus",NULL,NULL,NULL,"0.00000000",NULL,NULL,"9025","2009-11-10 00:00:00",NULL,0,NULL,0,"280000000100000001000400206900000C000000010000009AB2CCB990039CA9F3D5AF0800020000","1.14000000"
11,"393329113532901","P1011","Well","Leland-Harris - 1011","16020301","160203011502","Leland-Harris",1011,"39.55810325","-113.89131372",1,"cm","GPS Carrier Phase Kinematic Relative Position","NAD83","4783.19600000","ft","GPS Carrier Phase Kinematic Relative Position","NAVD88","UT","023","Piezometer","100VLFL","Unconsolidated Sediment","ft",NULL,"Snake Valley Wetlands",NULL,NULL,"Background","Snake Valley Wetlands",NULL,NULL,NULL,NULL,"N100BSNRGB","4.10000000",NULL,NULL,NULL,NULL,"0",NULL,"1",59,NULL,NULL,"wetlands/P1011.JPG","9/26/2017 Dominant Vegetation: Eleocharis rostellata",NULL,NULL,NULL,"0.00000000",NULL,NULL,"9025","2009-10-15 00:00:00",NULL,0,NULL,0,"280000000100000001000400206900000C0000000100000099868DA4900396A087BAAF0800000000","1.02000000"
12,"393330113532901","P1012","Well","Leland-Harris - 1012","16020301","160203011502","Leland-Harris",1012,"39.55838189","-113.89131696",1,"cm","GPS Carrier Phase Kinematic Relative Position","NAD83","4783.85500000","ft","GPS Carrier Phase Kinematic Relative Position","NAVD88","UT","023","Piezometer","100VLFL","Unconsolidated Sediment","ft",NULL,"Snake Valley Wetlands",NULL,NULL,"Background","Snake Valley Wetlands",NULL,NULL,NULL,NULL,"N100BSNRGB","3.80000000",NULL,NULL,NULL,NULL,"0",NULL,"1",59,NULL,NULL,"wetlands/P1012.JPG","9/26/2017 Dominant Vegetation: Typha latifolia, Schoenoplectus americanus",NULL,NULL,NULL,"0.00000000",NULL,NULL,"9025","2009-10-15 00:00:00",NULL,0,NULL,0,"280000000100000001000400206900000C000000010000009AF68DA49003AE82ADBAAF0830313030","1.66000000"
13,"393326113533101","P1013","Well","Leland-Harris - 1013","16020301","160203011502","Leland-Harris",1013,"39.55720561","-113.89180010",1,"cm","GPS Carrier Phase Kinematic Relative Position","NAD83","4783.22500000","ft","GPS Carrier Phase Kinematic Relative Position","NAVD88","UT","023","Piezometer","100VLFL","Unconsolidated Sediment","ft",NULL,"Snake Valley Wetlands",NULL,NULL,"Background","Snake Valley Wetlands",NULL,NULL,NULL,NULL,"N100BSNRGB","4.10000000",NULL,NULL,NULL,NULL,"0",NULL,"1",59,NULL,NULL,"wetlands/P1013.JPG","9/26/2017 Dominant Vegetation: Distichlis spicata, Spartina gracilis",NULL,NULL,NULL,"0.00000000",NULL,NULL,"9025","2009-10-15 00:00:00",NULL,0,NULL,0,"280000000100000001000400206900000C00000001000000908FD6A39003B4A08FB9AF0830313030","0.80000000"
14,"393328113533101","P1014","Well","Leland-Harris - 1014","16020301","160203011502","Leland-Harris",1014,"39.55773648","-113.89185332",1,"cm","GPS Carrier Phase Kinematic Relative Position","NAD83","4781.38500000","ft","GPS Carrier Phase Kinematic Relative Position","NAVD88","UT","023","Piezometer","100VLFL","Unconsolidated Sediment","ft",NULL,"Snake Valley Wetlands",NULL,NULL,"Background","Snake Valley Wetlands",NULL,NULL,NULL,NULL,"N100BSNRGB","3.70000000",NULL,NULL,NULL,NULL,"0",NULL,"1",59,NULL,NULL,"wetlands/P1014.JPG","9/26/2017 Dominant Vegetation: Juncus arcticus, Elymus trachycaulus, Solidago spectabilis, Argentina anserina",NULL,NULL,NULL,"0.00000000",NULL,NULL,"9025","2009-10-15 00:00:00",NULL,1,NULL,0,"280000000100000001000400206900000C00000001000000BEECD2A39003B0AFD7B9AF0830313030","1.30000000"
15,"393328113531701","P1015","Well","Leland-Harris - 1015","16020301","160203011502","Leland-Harris",1015,"39.55782059","-113.88796075",2,"cm","GPS Carrier Phase Kinematic Relative Position","NAD83","4781.98800000","ft","GPS Carrier Phase Kinematic Relative Position","NAVD88","UT","023","Piezometer","100VLFL","Unconsolidated Sediment","ft",NULL,"Snake Valley Wetlands",NULL,NULL,"Background","Snake Valley Wetlands",NULL,NULL,NULL,NULL,"N100BSNRGB","4.10000000",NULL,NULL,NULL,NULL,"0",NULL,"1",60,NULL,NULL,"wetlands/P1015.JPG","9/26/2017 Dominant Vegetation: Distichlis spicata",NULL,NULL,NULL,"0.00000000",NULL,NULL,"9025","2009-11-11 00:00:00",NULL,1,NULL,0,"280000000100000001000400206900000C00000001000000B3C2EBA6900396D2D5B9AF0800000000","1.00000000"
16,"393328113531601","P1016","Well","Leland-Harris - 1016","16020301","160203011502","Leland-Harris",1016,"39.55792136","-113.88790325",2,"cm","GPS Carrier Phase Kinematic Relative Position","NAD83","4780.75500000","ft","GPS Carrier Phase Kinematic Relative Position","NAVD88","UT","023","Piezometer","100VLFL","Unconsolidated Sediment","ft",NULL,"Snake Valley Wetlands",NULL,NULL,"Background","Snake Valley Wetlands",NULL,NULL,NULL,NULL,"N100BSNRGB","2.70000000",NULL,NULL,NULL,NULL,"0",NULL,"1",60,NULL,NULL,"wetlands/P1016.JPG","9/26/2017 Dominant Vegetation: Schoenoplectus acutus",NULL,NULL,NULL,"0.00000000",NULL,NULL,"9025","2009-11-11 00:00:00",NULL,0,NULL,0,"280000000100000001000400206900000C00000001000000BEFEF1A690039E8DE3B9AF0800000000","2.12000000"
17,"393331113531801","P1017","Well","Leland-Harris - 1017","16020301","160203011502","Leland-Harris",1017,"39.55858077","-113.88844943",1,"ft","GPS Carrier Phase Kinematic Relative Position","NAD83","4778.59000000","ft","Digital Elevation Model","NAVD88","UT","023","Piezometer","100VLFL","Unconsolidated Sediment","ft",NULL,"Snake Valley Wetlands",NULL,NULL,"Background","Snake Valley Wetlands",NULL,NULL,NULL,NULL,"N100BSNRGB","3.90000000",NULL,NULL,NULL,NULL,"0",NULL,"1",60,NULL,NULL,"","Removed 10/31/2014",NULL,NULL,NULL,"0.00000000",NULL,NULL,"9025","2009-11-11 00:00:00","2014-10-31 00:00:00",2,NULL,0,"280000000100000001000400206900000C00000001000000A0F9BAA690039099C0BAAF0800000000","0.85000000"
18,"393333113531801","P1018","Well","Leland-Harris - 1018","16020301","160203011502","Leland-Harris",1018,"39.55927602","-113.88821485",1,"cm","GPS Carrier Phase Kinematic Relative Position","NAD83","4780.57100000","ft","GPS Carrier Phase Kinematic Relative Position","NAVD88","UT","023","Piezometer","100VLFL","Unconsolidated Sediment","ft",NULL,"Snake Valley Wetlands",NULL,NULL,"Background","Snake Valley Wetlands",NULL,NULL,NULL,NULL,"N100BSNRGB","4.20000000",NULL,NULL,NULL,NULL,"0",NULL,"1",60,NULL,NULL,"wetlands/P1018.JPG","9/26/2017 Dominant Vegetation: Juncus arcticus, Distichlis spicata",NULL,NULL,NULL,"0.00000000",NULL,NULL,"9025","2009-11-11 00:00:00",NULL,0,NULL,0,"280000000100000001000400206900000C000000010000009A9AD7A69003A4DC9BBBAF0800313030","1.15000000"
19,"393335113531901","P1019","Well","Leland-Harris - 1019","16020301","160203011502","Leland-Harris",1019,"39.56006618","-113.88853399",1,"cm","GPS Carrier Phase Kinematic Relative Position","NAD83","4780.58100000","ft","GPS Carrier Phase Kinematic Relative Position","NAVD88","UT","023","Piezometer","100VLFL","Unconsolidated Sediment","ft",NULL,"Snake Valley Wetlands",NULL,NULL,"Background","Snake Valley Wetlands",NULL,NULL,NULL,NULL,"N100BSNRGB","3.90000000",NULL,NULL,NULL,NULL,"0",NULL,"1",60,NULL,NULL,"wetlands/P1019.JPG","9/26/2017 Dominant Vegetation: Schoenoplectus acutus",NULL,NULL,NULL,"0.00000000",NULL,NULL,"9025","2009-11-11 00:00:00",NULL,0,NULL,0,"280000000100000001000400206900000C00000001000000BE95B9A69003ACEF87BCAF0800000000","1.20000000"
20,"393337113531901","P1020","Well","Leland-Harris - 1020","16020301","160203011502","Leland-Harris",1020,"39.56020737","-113.88858560",1,"cm","GPS Carrier Phase Kinematic Relative Position","NAD83","4781.93300000","ft","GPS Carrier Phase Kinematic Relative Position","NAVD88","UT","023","Piezometer","100VLFL","Unconsolidated Sediment","ft",NULL,"Snake Valley Wetlands",NULL,NULL,"Background","Snake Valley Wetlands",NULL,NULL,NULL,NULL,"N100BSNRGB","4.20000000",NULL,NULL,NULL,NULL,"0",NULL,"1",60,NULL,NULL,"wetlands/P1020.JPG","9/26/2017 Dominant Vegetation: Juncus arcticus, Distichlis spicata",NULL,NULL,NULL,"0.00000000",NULL,NULL,"9025","2009-11-11 00:00:00",NULL,1,NULL,0,"280000000100000001000400206900000C00000001000000B0AFB4A69003BC969BBCAF0830313030","0.80000000"
70,"385155113595301","P1071","Well","Clay Spring - 1071","16020301","160203010905","Clay Spring",1071,"38.86529700","-113.99804000",1,"ft","GPS Carrier Phase Kinematic Relative Position","NAD83","5392.00000000","ft","Digital Elevation Model","NAVD88","UT","027","Piezometer","100VLFL","Unconsolidated Sediment","ft",NULL,"Snake Valley Wetlands",NULL,NULL,"Suspected / Anticipated Changes","Snake Valley Wetlands",NULL,NULL,NULL,NULL,"N100BSNRGB","4.60000000",NULL,NULL,NULL,NULL,"0",NULL,"1",54,NULL,NULL,"","Removed 10/31/2014",NULL,NULL,NULL,"0.00000000",NULL,NULL,"9003","2013-05-27 00:00:00","2014-10-31 00:00:00",2,NULL,0,"280000000100000001000400206900000C0000000100000080E7ADB48F03AD8FBFDFA90890C2F518","0.04000000"
21,"392451113523201","P1021","Well","Foote Reservoir - 1021","16020301","160203011202","Foote Reservoir",1021,"39.41420392","-113.87552531",1,"cm","GPS Carrier Phase Kinematic Relative Position","NAD83","4815.52800000","ft","GPS Carrier Phase Kinematic Relative Position","NAVD88","UT","027","Piezometer","100VLFL","Unconsolidated Sediment","ft",NULL,"Snake Valley Wetlands",NULL,NULL,"Known Changes","Snake Valley Wetlands",NULL,NULL,NULL,NULL,"N100BSNRGB","3.80000000",NULL,NULL,NULL,NULL,"0",NULL,"1",-1,NULL,NULL,"wetlands/P1021.JPG","9/28/2017 Dominant Vegetation: Distichlis spicata",NULL,NULL,NULL,"0.00000000",NULL,NULL,"9025","2009-10-16 00:00:00",NULL,1,NULL,0,"280000000100000001000400206900000C0000000100000095A896AC900388E1A6A1AE0830313030","0.94000000"
